ICD-10-CM Code Specific,"ICD-10-CM Code Definition (FY 2026)
(Category and subcategory codes highlighted in blue)
",General Category,SEER Casefinding List,"NPCR ePath WG
(for epath selection only)",,,,
C44.1392,"Sebaceous cell carcinoma of skin of left lower eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C44.19,"Other specified malignant neoplasm of skin of eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.191,"Other specified malignant neoplasm of skin of unspecified eyelid, including canthus",Malignant neoplasm,Reportable,Expanded,,,,
C44.192,"Other specified malignant neoplasm of skin of right eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.1921,"Other specified malignant neoplasm of skin of right upper eyelid, including canthus",Malignant neoplasm,Reportable,Expanded,,,,
C44.1922,"Other specified malignant neoplasm of skin of right lower eyelid, including canthus",Malignant neoplasm,Reportable,Expanded,,,,
C44.199,"Other specified malignant neoplasm of skin of left eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.1991,"Other specified malignant neoplasm of skin of left upper eyelid, including canthus",Malignant neoplasm,Reportable,Expanded,,,,
C44.1992,"Other specified malignant neoplasm of skin of left upper eyelid, including canthus",Malignant neoplasm,Reportable,Expanded,,,,
C44.20,Unspecified malignant neoplasm of skin of ear and external auricular canal,Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.201,Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,Malignant neoplasm,Reportable,Expanded,,,,
C44.202,Unspecified malignant neoplasm of skin of right ear and external auricular canal,Malignant neoplasm,Reportable,Expanded,,,,
C44.209,Unspecified malignant neoplasm of skin of left ear and external auricular canal,Malignant neoplasm,Reportable,Expanded,,,,
C44.29,Other specified malignant neoplasm of skin of ear and external auricular canal,Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.291,Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,Malignant neoplasm,Reportable,Expanded,,,,
C44.292,Other specified malignant neoplasm of skin of right ear and external auricular canal,Malignant neoplasm,Reportable,Expanded,,,,
C44.299,Other specified malignant neoplasm of skin of left ear and external auricular canal,Malignant neoplasm,Reportable,Expanded,,,,
C44.30,Unspecified malignant neoplasm of skin of other and unspecified parts of face,Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.300,Unspecified malignant neoplasm of skin of unspecified part of face,Malignant neoplasm,Reportable,Expanded,,,,
C44.301,Unspecified malignant neoplasm of skin of nose,Malignant neoplasm,Reportable,Expanded,,,,
C44.309,Unspecified malignant neoplasm of skin of other parts of face,Malignant neoplasm,Reportable,Expanded,,,,
C44.39,Other specified malignant neoplasm of skin of other and unspecified parts of face,Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.390,Other specified malignant neoplasm of skin of unspecified parts of face,Malignant neoplasm,Reportable,Expanded,,,,
C44.391,Other specified malignant neoplasm of skin of nose,Malignant neoplasm,Reportable,Expanded,,,,
C44.399,Other specified malignant neoplasm of skin of other parts of face,Malignant neoplasm,Reportable,Expanded,,,,
C44.40,Unspecified malignant neoplasm of skin of scalp and neck,Malignant neoplasm,Reportable,Expanded,,,,
C44.49,Other specified malignant neoplasm of skin of scalp and neck,Malignant neoplasm,Reportable,Expanded,,,,
C44.50,Unspecified malignant neoplasm of skin of trunk,Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.500,Unspecified malignant neoplasm of anal skin,Malignant neoplasm,Reportable,Expanded,,,,
C44.501,Unspecified malignant neoplasm of skin of breast,Malignant neoplasm,Reportable,Expanded,,,,
C44.509,Unspecified malignant neoplasm of skin of other part of trunk,Malignant neoplasm,Reportable,Expanded,,,,
C44.59,Other specified malignant neoplasm of skin of trunk,Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.590,Other specified malignant neoplasm of anal skin,Malignant neoplasm,Reportable,Expanded,,,,
C44.591,Other specified malignant neoplasm of skin of breast,Malignant neoplasm,Reportable,Expanded,,,,
C44.599,Other specified malignant neoplasm of skin of other part of trunk,Malignant neoplasm,Reportable,Expanded,,,,
C44.60,"Unspecified malignant neoplasm of skin of upper limb, including shoulder",Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.601,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",Malignant neoplasm,Reportable,Expanded,,,,
C44.602,"Unspecified malignant neoplasm of skin of right upper limb, including shoulder",Malignant neoplasm,Reportable,Expanded,,,,
C44.609,"Unspecified malignant neoplasm of skin of left upper limb, including shoulder",Malignant neoplasm,Reportable,Expanded,,,,
C44.69,"Other specified malignant neoplasm of skin of upper limb, including shoulder",Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.691,"Other specified malignant neoplasm of skin of unspecified upper limb, including shoulder",Malignant neoplasm,Reportable,Expanded,,,,
C44.692,"Other specified malignant neoplasm of skin of right upper limb, including shoulder",Malignant neoplasm,Reportable,Expanded,,,,
C44.699,"Other specified malignant neoplasm of skin of left upper limb, including shoulder",Malignant neoplasm,Reportable,Expanded,,,,
C44.70,"Unspecified malignant neoplasm of skin of lower limb, including hip",Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.701,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",Malignant neoplasm,Reportable,Expanded,,,,
C44.702,"Unspecified malignant neoplasm of skin of right lower limb, including hip",Malignant neoplasm,Reportable,Expanded,,,,
C44.709,"Unspecified malignant neoplasm of skin of left lower limb, including hip",Malignant neoplasm,Reportable,Expanded,,,,
C44.79,"Other specified malignant neoplasm of skin of lower limb, including hip",Malignant neoplasm,Subcategory Code,Subcategory Code (Expanded),,,,
C44.791,"Other specified malignant neoplasm of skin of unspecified lower limb, including hip",Malignant neoplasm,Reportable,Expanded,,,,
C44.792,"Other specified malignant neoplasm of skin of right lower limb, including hip",Malignant neoplasm,Reportable,Expanded,,,,
C44.799,"Other specified malignant neoplasm of skin of left lower limb, including hip",Malignant neoplasm,Reportable,Expanded,,,,
C44.80,Unspecified malignant neoplasm of overlapping sites of skin,Malignant neoplasm,Reportable,Expanded,,,,
C44.89,Other specified malignant neoplasm of overlapping sites of skin,Malignant neoplasm,Reportable,Expanded,,,,
C44.90,"Unspecified malignant neoplasm of skin, unspecified",Malignant neoplasm,Reportable,Non-Path casefinding,,,,
C44.99,"Other specified malignant neoplasm of skin, unspecified",Malignant neoplasm,Reportable,Non-Path casefinding,,,,
C45,Mesothelioma,Malignant neoplasm,Category Code,Category Code (Core),,,,
C45.0,Mesothelioma of pleura,Malignant neoplasm,Reportable,Core,,,,
C45.1,Mesothelioma of peritoneum,Malignant neoplasm,Reportable,Core,,,,
C45.2,Mesothelioma of pericardium,Malignant neoplasm,Reportable,Core,,,,
C45.7,Mesothelioma of other sites,Malignant neoplasm,Reportable,Core,,,,
C45.9,"Mesothelioma, unspecified",Malignant neoplasm,Reportable,Core,,,,
C46,Kaposi's sarcoma,Malignant neoplasm,Category Code,Category Code (Core),,,,
C46.0,Kaposi's sarcoma of skin,Malignant neoplasm,Reportable,Core,,,,
C46.1,Kaposi's sarcoma of soft tissue,Malignant neoplasm,Reportable,Core,,,,
C46.2,Kaposi's sarcoma of palate,Malignant neoplasm,Reportable,Core,,,,
C46.3,Kaposi's sarcoma of lymph nodes,Malignant neoplasm,Reportable,Core,,,,
C46.4,Kaposi's sarcoma of gastrointestinal sites,Malignant neoplasm,Reportable,Core,,,,
C46.5,Kaposi's sarcoma of lung,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C46.50,Kaposi's sarcoma of unspecified lung,Malignant neoplasm,Reportable,Core,,,,
C46.51,Kaposi's sarcoma of right lung,Malignant neoplasm,Reportable,Core,,,,
C46.52,Kaposi's sarcoma of left lung,Malignant neoplasm,Reportable,Core,,,,
C46.7,Kaposi's sarcoma of other sites,Malignant neoplasm,Reportable,Core,,,,
C46.9,"Kaposi's sarcoma, unspecified",Malignant neoplasm,Reportable,Core,,,,
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,Malignant neoplasm,Category Code,Category Code (Core),,,,
C47.0,"Malignant neoplasm of peripheral nerves of head, face and neck",Malignant neoplasm,Reportable,Core,,,,
C47.1,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C47.10,"Malignant neoplasm of peripheral nerves of unspecified upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C47.11,"Malignant neoplasm of peripheral nerves of right upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C47.12,"Malignant neoplasm of peripheral nerves of left upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C47.2,"Malignant neoplasm of peripheral nerves of lower limb, including hip",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C47.20,"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
C47.21,"Malignant neoplasm of peripheral nerves of right lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
C47.22,"Malignant neoplasm of peripheral nerves of left lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
C47.3,Malignant neoplasm of peripheral nerves of thorax,Malignant neoplasm,Reportable,Core,,,,
C47.4,Malignant neoplasm of peripheral nerves of abdomen,Malignant neoplasm,Reportable,Core,,,,
C47.5,Malignant neoplasm of peripheral nerves of pelvis,Malignant neoplasm,Reportable,Core,,,,
C47.6,"Malignant neoplasm of peripheral nerves of trunk, unspecified",Malignant neoplasm,Reportable,Core,,,,
C47.8,Malignant neoplasm of overlapping sites of peripheral nerves and autonomic nervous system,Malignant neoplasm,Reportable,Core,,,,
C47.9,"Malignant neoplasm of peripheral nerves and autonomic nervous system, unspecified",Malignant neoplasm,Reportable,Core,,,,
C48,Malignant neoplasm of retroperitoneum and peritoneum,Malignant neoplasm,Reportable,Core,,,,
C48.0,Malignant neoplasm of retroperitoneum,Malignant neoplasm,Reportable,Core,,,,
C48.1,Malignant neoplasm of specified parts of peritoneum,Malignant neoplasm,Reportable,Core,,,,
C48.2,"Malignant neoplasm of peritoneum, unspecified",Malignant neoplasm,Reportable,Core,,,,
C48.8,Malignant neoplasm of overlapping sites of retroperitoneum and peritoneum,Malignant neoplasm,Reportable,Core,,,,
C49,Malignant neoplasm of other connective and soft tissue,Malignant neoplasm,Category Code,Category Code (Core),,,,
C49.0,"Malignant neoplasm of connective and soft tissue of head, face and neck",Malignant neoplasm,Reportable,Core,,,,
C49.1,"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C49.10,"Malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C49.11,"Malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C49.12,"Malignant neoplasm of connective and soft tissue of left upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C49.2,"Malignant neoplasm of connective and soft tissue of lower limb, including hip",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C49.20,"Malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
C49.21,"Malignant neoplasm of connective and soft tissue of right lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
C49.22,"Malignant neoplasm of connective and soft tissue of left lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
C49.3,Malignant neoplasm of connective and soft tissue of thorax,Malignant neoplasm,Reportable,Core,,,,
C49.4,Malignant neoplasm of connective and soft tissue of abdomen,Malignant neoplasm,Reportable,Core,,,,
C49.5,Malignant neoplasm of connective and soft tissue of pelvis,Malignant neoplasm,Reportable,Core,,,,
C49.6,"Malignant neoplasm of connective and soft tissue of trunk, unspecified",Malignant neoplasm,Reportable,Core,,,,
C49.8,Malignant neoplasm of overlapping sites of connective and soft tissue,Malignant neoplasm,Reportable,Core,,,,
C49.9,"Malignant neoplasm of connective and soft tissue, unspecified",Malignant neoplasm,Reportable,Core,,,,
C49.A,Gastrointestinal stromal tumor,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C49.A0,"Gastrointestinal stromal tumor, unspecified site",Malignant neoplasm,Reportable,Core,,,,
C49.A1,"Gastrointestinal stromal tumor, of esophagus",Malignant neoplasm,Reportable,Core,,,,
C49.A2,"Gastrointestinal stromal tumor, of stomach",Malignant neoplasm,Reportable,Core,,,,
C49.A3,"Gastrointestinal stromal tumor, of small intestine",Malignant neoplasm,Reportable,Core,,,,
C49.A4,"Gastrointestinal stromal tumor, of large intestine",Malignant neoplasm,Reportable,Core,,,,
C49.A5,"Gastrointestinal stromal tumor, of rectum",Malignant neoplasm,Reportable,Core,,,,
C49.A9,"Gastrointestinal stromal tumor, of other sites",Malignant neoplasm,Reportable,Core,,,,
C4A,Merkel cell carcinoma,Malignant neoplasm,Category Code,Category Code,,,,
C4A.0,Merkel cell carcinoma of lip,Malignant neoplasm,Reportable,Core,,,,
C4A.1,"Merkel cell carcinoma of eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C4A.10,"Merkel cell carcinoma of unspecified eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C4A.11,"Merkel cell carcinoma of right eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C4A.111,"Merkel cell carcinoma of right upper eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C4A.112,"Merkel cell carcinoma of right lower eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C4A.12,"Merkel cell carcinoma of left eyelid, including canthus",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C4A.121,"Merkel cell carcinoma of left upper eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C4A.122,"Merkel cell carcinoma of left lower eyelid, including canthus",Malignant neoplasm,Reportable,Core,,,,
C4A.2,Merkel cell carcinoma of ear and external auricular canal,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C4A.20,Merkel cell carcinoma of unspecified ear and external auricular canal,Malignant neoplasm,Reportable,Core,,,,
C4A.21,Merkel cell carcinoma of right ear and external auricular canal,Malignant neoplasm,Reportable,Core,,,,
C4A.22,Merkel cell carcinoma of left ear and external auricular canal,Malignant neoplasm,Reportable,Core,,,,
C4A.3,Merkel cell carcinoma of other and unspecified parts of face,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C4A.30,Merkel cell carcinoma of unspecified part of face,Malignant neoplasm,Reportable,Core,,,,
C4A.31,Merkel cell carcinoma of nose,Malignant neoplasm,Reportable,Core,,,,
C4A.39,Merkel cell carcinoma of other parts of face,Malignant neoplasm,Reportable,Core,,,,
C4A.4,Merkel cell carcinoma of scalp and neck,Malignant neoplasm,Reportable,Core,,,,
C4A.5,Merkel cell carcinoma of trunk,Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C4A.51,Merkel cell carcinoma of anal skin,Malignant neoplasm,Reportable,Core,,,,
C4A.52,Merkel cell carcinoma of skin of breast,Malignant neoplasm,Reportable,Core,,,,
C4A.59,Merkel cell carcinoma of other part of trunk,Malignant neoplasm,Reportable,Core,,,,
C4A.6,"Merkel cell carcinoma of upper limb, including shoulder",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C4A.60,"Merkel cell carcinoma of unspecified upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C4A.61,"Merkel cell carcinoma of right upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C4A.62,"Merkel cell carcinoma of left upper limb, including shoulder",Malignant neoplasm,Reportable,Core,,,,
C4A.7,"Merkel cell carcinoma of lower limb, including hip",Malignant neoplasm,Subcategory Code,Subcategory Code (Core),,,,
C4A.70,"Merkel cell carcinoma of unspecified lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
C4A.71,"Merkel cell carcinoma of right lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
C4A.72,"Merkel cell carcinoma of left lower limb, including hip",Malignant neoplasm,Reportable,Core,,,,
